"Tracklist short","ID"
"01  	Hope  	Tree Frog  	   	   	   	 
02 	M.A.S.I. 	Apache 	  	  	  	 
03 	Black Evita 	Yo Mira 	  	  	  	 
04 	Winx 	How's The Music 	  	  	  	 
05 	Slo Moshun 	Bells Of N.Y. 	  	  	  	 
06 	You 	Blow 	  	  	  	 
07 	Progression 	Reach Further 	  	  	  	",41
"01  	Red Seal  	Upturn  	   	   	   	 
02 	BBR Streetgang 	Disco Groove 	  	  	  	 
03 	H20 feat. Billie 	Satisfied 	  	  	  	 
04 	Dad Line 	Boom Base 	  	  	  	 
05 	The Mighty Dub Cats 	Magic Carpet Ride 	  	  	  	 
06 	Pizzaman 	Sex On The Streets 	  ",42
"01 	DJ Dero 	Batucada [Outro: cold] 	- 	126.8
02 	Kaballa 	The Drums of the Lock [BPM info: 0 -speeds to 131.6] 	- 	131.6
03 	Exposure & DJ Phillipe 	Party Claps 	- 	132.9
04 	Next IV 	Pia - Samba - No. 2 	- 	140.0
05 	Goodmen, The 	Give it Up 	- 	124.8
0",43
"01 	Essence 	The Promise (Direct Hit Digital Mix / Steve Bourasa) 	- 	135.0
02 	Tin Tin Out 	Here's Where the Story Ends (Direct Hit Digital Mix / Steve Bourasa) 	- 	132.0
03 	Tomski 	14 Hours to Save the Earth (Direct Hit Digital Mix / Paul Goodyear) 	- ",44
"01 	Hope 	Tree Frog (Hot Tracks Digital Mix / Chris Cox) 	- 	127.0
02 	M.A.S.I. 	Apache (Hot Tracks Remix / Robert Vaughan & Chad Littlepage) 	- 	130.1
02 	Outhere Brothers 	Fuk U in the Ass (Hot Tracks Digital Remix / Chris Cox & Ron Hester) 	- 	128.0
03",45
"01 	Parton, Dolly 	Peace Train (Direct Hit Digital Mix / Steve Bourasa) 	 6:24 	135.0
02 	Kristine W 	Feel What You Want '97 (Direct Hit Digital Mix / William George) 	6:18 	133.0
03 	Ascension 	Someone (Direct Hit Digital Mix / Phil B.) 	8:37 	135.0
04 	",46
"01 	Tears for Fears 	The Way You Are (12inch Mix) [Time: 7:46] 	- 	-
02 	Ultravox 	Reap the Wild Wind [Time: 3:50] 	- 	-
03 	When in Rome 	The Promise (O.N. Mix) [Time: 6:25] 	- 	-
04 	Plus One 	Nevermore (Extended Version) [Time: 6:44] 	- 	-
05 	Naked Eyes ",47
"01 	Wilde, Kim 	Shame (Direct Hit Digital Mix / Steve Bourasa) [Time: 7:24] 	- 	130.0
02 	Healy, Jeremy & Amos 	Stamp (Direct Hit Digital Mix / Steve Bourasa) [Time: 6:47] 	- 	135.0
03 	Yello 	On Track (Direct Hit Digital Mix / J. Marc Andrus) [Time: 8:45",48
"01 Carnival of Dreams The perfect journey
02 Carnival of Dreams Hörst du uns rufen
03 Carnival of Dreams C.i.B.
04 Carnival of Dreams Gedanke zerbricht
05 Carnival of Dreams Man on the Moon
06 Strange Contact Fairytale (Radi-O-Edit)
07 Y-my-R Me
08 Dynami",49
"01 Joe Jackson - Steepin' Out

02 Tears For Fears - Mad World

03 Yazoo - Don't Go

04 Camouflage - Love Is A Shield

05 Erasure - Sometimes

06 Nik Kershaw - Dancing Girls07 Sandra - Maria Magdalena

08 Falco - Vienna Calling

09 Eurythmics - There Must ",50
"01	A New Culture Is Born
02	The Nightfly
03	La Luna
04	DJ Culture
05	Sundowner
06	Sound Of Machines
07	The Blue Sky
08	Waste Your Youth
09	Mindcrasher
10	The Nightfly (Break Reprise)
11	After Love (Club Mix)
12	Cream (Long Version)",51
"01	Departure	Rendevous And A Flirt With You	 	 	 	 
02	Debbie Harry	In Love With Love	 	 	 	 
03	Living In A Box	Living In A Box	 	 	 	 
04	Belouis Some	Let It Be With You	 	 	 	 
05	Yello	Call It Love	 	 	 	 
06	CCP	A Solution	 	 	 	 
07	Ken Heaven	The C",52
"01	Do It (Boris 7inch) (3:07)
02	Do It (Radio) (3:41)
  remix by Mark Picchiotti & Teri Bristol
03	Do It (Boris 7inch Instrumental) (3:07)
04	Do It (Spinout & Mellow Mix) (7:10)
  remix by Sun Electric
05	Do It (Buddah-Pic Mix) (7:04)
  remix by Mark Picchiotti",53
"01	Fantasy Three	 - 	It's Your Rock (Instrumental) (6:47)
02	Knights Of The Turntables, The	- 	Techno Scratch (3:35)
03	Cybotron	- 	Clear (4:39)
04	Grandmaster Flash & The Furious Five	- 	Scorpio (4:24)
05	Project Future	- 	Ray-Gun-Omics (6:11)
06	Craig P",54
"01	Miro (2)	 - 	Spaceman (Trance Mix)
02	Renaissance	- 	The Sect Of The Sea (Original 12inch Mix)
03	Quadran	- 	Illusive Dream (Southside Mix)
  remix by Sunscreem
04	LaTour	- 	Blue (Underground Ice Pick Mix)
05	Virtual Element	- 	Groove A Haque (Original Mi",55
"01	The Race (Brake Light Mix) (6:50)
02	How How (Papa-Who-Ma-Mix) (5:51)
  remix by Fluke
03	More (Rockabilly Mix) (6:14)
04	Do It (Marky P. & Teri B. Dub) (7:46)
  remix by Mark Picchiotti & Teri Bristol
05	Topaz (Insect Mix) (3:36)
06	How How (In Silenc",56
"01	Various Artists	The Dance Decade Volume 5 (1984)	 	 	 	Bizzie Bee
02	Yello	Blazing Saddles	 	 	 	Paul Dakeyne
03	Whitney Houston	I Want To Dance With Somebody	The Minneapolis Connection	 	 	Steve Anderson
04	Sugarhill Gang	Rappers Delight	 	 	 	Ben Lie",57
