"11","CD","Album","Baby","Yello","1991",\N,"Germany","Mercury",\N,"848 791-2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","11",\N,\N,\N,\N,"1",\N,"1",\N,\N,\N,\N,\N,"June","17","JW",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"10","    1. Homage to the Mountain 0.33\
   2. Rubberbandman 3.35\
   3. Jungle Bill 6.08\
   4. Ocean Club 3.26\
   5. Who's Gone? 3.41\
   6. Capri Calling 3.01\
\
   7. Drive/Driven 4.13\
   8. On the Run 4.36\
   9. Blender 4.35\
  10. Sweet Thunder 5.24",\N,"before 2003",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1079",\N,\N
"12","CD","Album","Baby","Yello","1991",\N,"Germany","Mercury",\N,"848 791-2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","12","[Combined 1&2 track & Diff. Cover]",\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,"",\N,"US_Julz",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"13","CD","Album","Baby","Yello","1991",\N,"Germany","Mercury",\N,"848 791-2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","13","With rubber face",\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,"US_Julz",\N,\N,"fact",\N,"Promo",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2599180446","1626",\N,\N
"14","CD","Album","Baby","Yello","1991",\N,"Germany","Phonogram",\N,"848 791-2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","14",\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,"Ari",\N,\N,"wonder",\N,"Promo",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"3380590114","1116",\N,\N
"15","CD","Album","Baby","Yello","1991",\N,"Japan","Mercury","PHCR 1114","PHCR-1114","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","15",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"www.eil.com",\N,\N,"wonder",\N,"Promo",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"p/s",\N,"10","Homage to the Mountain\
Rubberbandman\
Jungle Bill\
Ocen Club\
Whos Gone\
Capri Calling\
Drive/Driven\
On the Run\
Blender\
Sweet Thunder",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1411",\N,\N
"16","CD","Album","Baby","Yello","1991",\N,"Japan","Mercury","PHCR 1114","PHCR-1114","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","16",\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,"Ari",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"17","CD","Album","Baby","Yello","1994",\N,"Poland","Mercury",\N,"848 791-2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","17",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Makke",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"18","CD","Album","Baby","Yello","1991",\N,"South Africa","Mercury","STARCD 5816",\N,"./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","18",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"SA LP",\N,\N,"wonder",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"19","CD","Album","Baby","Yello","1993",\N,"Sweden","Mercury",\N,"848 791-2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","19",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Makke",\N,\N,"wonder",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"20","CD","Album","Baby","Yello","1993",\N,"Sweden","Mercury",\N,"850 130-2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","20",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Makke",\N,\N,"rumour",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"21","CD","Album","Baby","Yello","1991","","UK","Mercury",\N,"848 791-2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","21",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"2",\N,"June","10","JW",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"10","   1. Homage to the Mountain 0.33\
   2. Rubberbandman 3.35\
   3. Jungle Bill 6.08\
   4. Ocean Club 3.26\
   5. Who's Gone? 3.41\
   6. Capri Calling 3.01\
\
   7. Drive/Driven 4.13\
   8. On the Run 4.36\
   9. Blender 4.35\
  10. Sweet Thunder 5.24",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
