5015, YELLO       , CALL IT LOVE                    , MERCURY               ,, U.S.A       ,, VINYL              ," 7""            ",              ,,,,,,,,,,,,,,,,,,
5091, YELLO       , CALL IT LOVE                    , BARCLAY               ,, FRANCE      ,, VINYL              ," 7""            ",              ,,,,,,,,,,,,,,,,,,
5167, YELLO       , CALL IT LOVE                    , VERTIGO               ,, HONG KONG   ,, VINYL              ," 7""            ",              ,,,,,,,,,,,,,,,,,,
5318, YELLO       , CALL IT LOVE                    , VERTIGO               ,, US          ,, VINYL              ," 12""           ", PROMO        ,,,,,,,,,,,,,,,,,,
5394, YELLO       , CALL IT LOVE                    , VERTIGO               ,, CANADA      ,, VINYL              ," 12""           ", PROMO        ,,,,,,,,,,,,,,,,,,
5470, YELLO       , CALL IT LOVE                    , VERTIGO               ,, CANADA      ,, VINYL              ," 12""           ", PROMO        
5546, YELLO       , CALL IT LOVE                    , VERTIGO               ,, AUST        ,, VINYL              ," 12""           ",              
5622, YELLO       , CALL IT LOVE                    , MERCURY               ,, U.S.A       ,, VINYL              ," 12""           ",              
5698, YELLO       , CALL IT LOVE                    , VERTIGO               ,, GERMAN      ,, VINYL              ," 12""           ",              
5849, YELLO       , CALL IT LOVE                    , MERCURY               ,, UK          ,, VINYL              ," 12""           ", PROMO        
6000, VARIOUS     , CALL IT LOVE                    , RAZORMAID             ,, U.S.A       ,, VINYL              ," 12""           ",              
6076, YELLO       , CALL IT LOVE                    , MERCURY               ,, UK          ,, VINYL              ," 7""            ",              
6152, YELLO       , CALL IT LOVE                    , VERTIGO               ,, GERMAN      ,, VINYL              , 7”            ,              
6228, YELLO       , CALL IT LOVE                    , MERCURY               ,, UK          ,, CASSETTE           , SINGLE        ,              
6304, YELLO       , CALL IT LOVE                    , VERTIGO               ,, GERMAN      ,, CD                 , MAXI          ,              
6380, YELLO       , CALL IT LOVE                    , MERCURY               ,, U.S.A       ,, VIDEO              ,               ,              
63159, YELLO       , CALL IT LOVE                    , VERTIGO               ,, NETHERLANDS ,, VINYL              , 12”           ,              
63235, YELLO       , CALL IT LOVE                    , VERTIGO               ,, GERMAN      ,, VINYL              , 7”            , PROMO        
63311, YELLO       , CALL IT LOVE                    , VERTIGO               ,, NETHERLANDS ,, VINYL              , 7”            ,              
6683, YELLO       , CLARO QUE SI                    , MERCURY               ,, UK          ,, CASSETTE           , ALBUM         ,              
6759, YELLO       , CLARO QUE SI                    , MERCURY               ,, GERMAN      ,, CASSETTE           , ALBUM         ,              
6835, YELLO       , CLARO QUE SI                    , VERTIGO               ,, GERMAN      ,, CD                 , ALBUM         ,              
6911, YELLO       , CLARO QUE SI                    , VERTIGO               ,, GERMAN      ,, CD                 , ALBUM         ,              
6987, YELLO       , CLARO QUE SI                    , MERCURY               ,, UK          ,, VINYL              , LP            ,              
7063, YELLO       , CLARO QUE SI                    , RALPH                 ,, US          ,, VINYL              , LP            ,              
